speaker_id,birth place,city,native language,other language(s),age,sex,age of english onset,english learning method,english residence,length of english residence,language
1389,"sao paulo, brazil",sao paulo,portuguese,french spanish dutch esperanto,22,female,9,academic,usa,0.3 years,portuguese35
1390,"rochester, new york, usa",rochester,english,spanish,31,male,0,naturalistic,usa,31 years,english422
1391,"jiddah, saudi arabia",jiddah,arabic,none,56,male,16,naturalistic,usa,33 years,arabic35
1392,"jiddah, saudi arabia",jiddah,arabic,none,36,male,6,academic,"usa, uk",6 years,arabic36
1393,"jiddah, saudi arabia",jiddah,arabic,none,18,male,16,academic,usa,0.4 years,arabic37
1394,"shady grove, maryland, usa",shady grove,arabic,none,19,female,9,academic,usa,12 years,arabic38
1395,"baltimore, maryland, usa",baltimore,english,spanish german italian,24,female,0,naturalistic,usa,24 years,english423
1396,"la paz, bolivia",la paz,spanish,none,49,male,14,academic,usa,12 years,spanish82
1397,"la paz, bolivia",la paz,spanish,italian,48,male,14,academic,usa,1.4 years,spanish83
1398,"buenos aires, argentina",buenos aires,spanish,none,19,female,4,academic,usa,0.2 years,spanish84
1399,"buenos aires, argentina",buenos aires,spanish,french,44,female,6,academic,,0 years,spanish85
1400,"buenos aires, argentina",buenos aires,spanish,french,23,male,4,academic,,0 years,spanish86
1401,"la paz, bolivia",la paz,spanish,none,55,male,9,academic,"usa, ireland",2.2 years,spanish87
1402,"la paz, bolivia",la paz,spanish,none,53,male,25,naturalistic,usa,29 years,spanish88
1403,"prishtina, kosovo",prishtina,albanian,serbian,45,female,11,academic,usa,12 years,albanian7
1404,"prishtina, kosovo",prishtina,albanian,serbian,43,female,9,academic,usa,13 years,albanian8
1405,"jiddah, saudi arabia",jiddah,arabic,none,22,male,5,academic,usa,2 years,arabic39
1406,"milan, italy",milan,italian,spanish,23,female,6,academic,,0 years,italian24
1407,"vladivostok, russia",vladivostok,russian,none,19,male,15,academic,new zealand,2 years,russian34
1408,"kaltungo, gombe, nigeria",kaltungo,hausa,tangale,43,male,5,naturalistic,"nigeria, uk, usa",43 years,hausa9
1409,"danville, virginia, usa",danville,english,none,75,male,0,naturalistic,usa,75 years,english424
1410,"danville, virginia, usa",danville,english,none,31,male,0,naturalistic,usa,31 years,english425
1411,"florence, south carolina, usa",florence,english,none,30,female,0,naturalistic,usa,30 years,english426
1412,"hanover, pennsylvania, usa",hanover,english,none,68,female,0,naturalistic,usa,68 years,english427
1413,"kingstree, south carolina, usa",kingstree,english,none,55,female,0,naturalistic,usa,55 years,english428
1414,"barcelona, spain",barcelona,catalan,spanish french,21,female,11,academic,finland,0.5 years,catalan4
1415,"athens, greece",athens,greek,french,37,male,3,academic,uk,0.2 years,greek8
1416,"philadelphia, pennsylvania, usa",philadelphia,english,german,19,female,0,naturalistic,usa,19 years,english429
1417,"changsha, hunan, china",changsha,xiang,mandarin,30,male,12,academic,usa,4.5 years,xiang2
1418,"athens, greece",athens,greek,spanish french portuguese,23,female,6,academic,,0 years,greek9
1419,"melbourne, australia",melbourne,english,none,23,female,0,naturalistic,australia,23 years,english430
1420,"jiddah, saudi arabia",jiddah,arabic,none,19,male,13,academic,usa,0.1 years,arabic40
1421,"riyadh, saudi arabia",riyadh,arabic,none,25,male,7,academic,usa,1.5 years,arabic41
1422,"jiddah, saudi arabia",jiddah,arabic,none,21,male,13,academic,usa,0.5 years,arabic42
1423,"green bay, wisconsin, usa",green bay,english,german,23,female,0,naturalistic,usa,23 years,english431
1424,"montreal, quebec, canada",montreal,french,spanish vietnamese,22,male,8,academic,canada,22 years,french38
1425,"monterrey, mexico",monterrey,spanish,none,22,male,13,academic,usa,9 years,spanish89
1426,"beirut, lebanon",beirut,arabic,french spanish,29,female,8,academic,,0 years,arabic43
1427,"pezenas, france",pezenas,french,spanish,28,male,13,academic,,0 years,french39
1428,"dublin, ireland",dublin,english,french spanish,22,female,0,naturalistic,ireland,21 years,english432
1429,"rouen, france",rouen,french,none,44,female,13.5,academic,uk,1 years,french40
1430,"gladwin, michigan, usa",gladwin,english,none,32,female,0,naturalistic,usa,32 years,english433
1431,"caracas, venezuela",caracas,spanish,italian,23,female,3,naturalistic,usa,2 years,spanish90
1432,"cape town, south africa",cape town,afrikaans,none,19,male,6,academic,australia,9 years,afrikaans5
1433,"caracas, venezuela",caracas,spanish,french,20,female,7,naturalistic,usa,10 years,spanish91
1434,"aarhus, denmark",aarhus,danish,french,21,female,11,academic,usa,0.25 years,danish4
1435,"cardenas, cuba",cardenas,spanish,none,54,male,9,naturalistic,usa,45 years,spanish92
1436,"santa rosa, honduras",santa rosa,spanish,none,29,female,18,naturalistic,usa,11 years,spanish93
1437,"chandigarh, india",chandigarh,hindi,punjabi,20,male,4,academic,usa,7 years,hindi11
1438,"uberlandia, brazil",uberlandia,portuguese,spanish french,39,female,15,academic,usa,12 years,portuguese36
1439,"bogota, colombia",bogota,spanish,none,19,male,6,academic,usa,11 years,spanish94
1440,"allahabad, india",allahabad,hindi,none,25,female,4,academic,usa,4 years,hindi12
1441,"malmo, sweden",malmo,swedish,german danish,23,male,7,academic,usa,0.5 years,swedish12
1442,"harare, zimbabwe",harare,shona,french,20,female,6,academic,usa,9 years,shona2
1443,"geislingen, germany",geislingen,german,french spanish latin,21,female,11,academic,usa,0.25 years,german25
1444,"juarez, mexico",juarez,spanish,none,31,female,21,naturalistic,usa,10 years,spanish95
1445,"umea, sweden",umea,swedish,german spanish,28,female,10,academic,usa,3 years,swedish13
1446,"sofia, bulgaria",sofia,bulgarian,russian,30,female,9,academic,usa,8 years,bulgarian12
1447,"shanghai, china",shanghai,mandarin,none,45,male,15,academic,usa,20 years,mandarin28
1448,"solotvino, ukraine",solotvino,romanian,russian,43,female,28,naturalistic,usa,15 years,romanian18
1449,"arequipa, peru",arequipa,spanish,portuguese french italian quechua,29,female,12,academic,usa,4.25 years,spanish96
1450,"bogota, colombia",bogota,spanish,german,52,female,19,academic,usa,17.5 years,spanish97
1451,"veracruz, mexico",veracruz,spanish,none,34,male,29,naturalistic,usa,5 years,spanish98
1452,"stuttgart, germany",stuttgart,german,none,77,female,24,naturalistic,usa,53 years,german26
1453,"krakow, poland",krakow,polish,none,33,female,13,academic,usa,9 years,polish17
1454,"sao paulo, brazil",sao paulo,portuguese,none,43,female,26,naturalistic,usa,16 years,portuguese37
1455,"jiddah, saudi arabia",jiddah,arabic,none,29,female,7,academic,usa,0.6 years,arabic44
1456,"fort collins, colorado, usa",fort collins,arabic,turkish,32,female,12,naturalistic,usa,0.5 years,arabic45
1457,"jiddah, saudi arabia",jiddah,arabic,none,28,male,13,academic,"uk, usa",1 years,arabic46
1458,"jiddah, saudi arabia",jiddah,arabic,none,39,male,16,academic,usa,0.75 years,arabic47
1459,"mecca, saudi arabia",mecca,arabic,none,29,male,12,academic,usa,1 years,arabic48
1460,"medina, saudi arabia",medina,arabic,none,26,male,8,academic,usa,1 years,arabic49
1461,"jiddah, saudi arabia",jiddah,arabic,none,36,male,22,academic,usa,0.75 years,arabic50
1462,"sint-niklaas, belgium",sint-niklaas,dutch,french,21,female,14,academic,,0 years,dutch30
1463,"antwerp, belgium",antwerp,dutch,french,23,female,13,academic,,0 years,dutch31
1464,"brasschaat, belgium",brasschaat,dutch,french german spanish,21,male,14,academic,,0 years,dutch32
1465,"visaginas, lithuania",visaginas,lithuanian,russian spanish,21,female,10,academic,,0 years,lithuanian6
1466,"mechelen, belgium",mechelen,dutch,french,22,female,9,naturalistic,,0 years,dutch33
1467,"dresden, germany",dresden,russian,ukrainian german dutch french,27,male,16,academic,,0 years,russian35
1468,"bornem, belgium",bornem,dutch,french,22,female,14,academic,,0 years,dutch34
1469,"kansas city, kansas, usa",kansas city,english,german,24,male,0,naturalistic,usa,24 years,english434
1470,"rio de janeiro, brazil",rio de janeiro,portuguese,russian spanish,25,male,15,naturalistic,,0 years,portuguese38
1471,"palm springs, california, usa",palm springs,english,japanese,20,female,0,naturalistic,usa,17 years,english435
1472,"turnhout, belgium",turnhout,vlaams,german,21,female,14,academic,,0 years,vlaams2
1473,"mortsel, belgium",mortsel,dutch,french,21,female,13,academic,,0 years,dutch35
1474,"la massana, andorra",la massana,french,dutch german,24,male,12,academic,,0 years,french41
1475,"freeport, the bahamas",freeport,english,none,19,female,0,naturalistic,the bahamas,19 years,english436
1476,"turnhout, belgium",turnhout,dutch,french german swedish,21,female,12,academic,,0 years,dutch36
1477,"cleveland, ohio, usa",cleveland,english,french italian,21,male,0,naturalistic,usa,21 years,english437
1478,"herentals, belgium",herentals,vlaams,spanish french german,22,female,14,academic,,0 years,vlaams3
1479,"antwerp, belgium",antwerp,dutch,french german,21,female,11,academic,,0 years,dutch37
1480,"hong kong, china",hong kong,cantonese,mandarin japanese,18,male,3,academic,,0 years,cantonese20
1481,"beveren, belgium",beveren,dutch,french german,21,female,12,academic,,0 years,dutch38
1482,"hardinxveld-giessendam, netherlands",hardinxveld-giessendam,dutch,german french,22,female,10,academic,,0 years,dutch39
1483,"bialystok, poland",bialystok,polish,none,18,male,5,academic,,0 years,polish18
1484,"dordrecht, netherlands",dordrecht,dutch,german french,25,male,9,academic,,0 years,dutch40
1485,"bern, switzerland",bern,swiss german,none,24,male,14,academic,new zealand,11 years,swiss german4
1486,"jiddah, saudi arabia",jiddah,arabic,none,23,male,12,academic,usa,4 years,arabic51
1487,"jiddah, saudi arabia",jiddah,arabic,none,21,female,9,academic,usa,5 years,arabic52
1488,"bangkok, thailand",bangkok,thai,none,30,male,6,naturalistic,usa,15 years,thai10
1489,"siracusa, sicily, italy",siracusa,italian,french spanish arabic,49,male,11,academic,,0 years,italian26
1490,"lanzhou, gansu, china",lanzhou,mandarin,none,24,male,4,academic,,0 years,mandarin29
1491,"taipei, taiwan",taipei,mandarin,none,27,male,13,academic,usa,1 years,mandarin30
1492,"houston, texas, usa",houston,english,none,20,female,0,naturalistic,usa,20 years,english438
1493,"richmond, british columbia, canada",richmond,english,none,18,female,0,naturalistic,canada,18 years,english439
1494,"bielefeld, germany",bielefeld,german,polish spanish french,23,male,10,academic,ireland,0.6 years,german27
1495,"chisapani, nepal",chisapani,nepali,mandarin hindi japanese,39,male,9,academic,usa,5 years,nepali5
1496,"kediri, java, indonesia",kediri,indonesian,tagalog arabic malay,45,female,12,academic,usa,8 years,indonesian7
1497,"seremban, negeri sembilan, malaysia",seremban,malay,hindi arabic,43,female,6,academic,"uk, usa, india, new zealand",17 years,malay3
1498,"ouarzazat, morocco",ouarzazat,amazigh,arabic french,39,male,16,academic,usa,4 years,amazigh2
1499,"bhadrapur, nepal",bhadrapur,nepali,hindi newar,24,male,6,academic,usa,6 years,nepali6
1500,"pasay, philippines",pasay,filipino,german spanish,21,female,3,naturalistic,usa,0.5 years,filipino2
1501,"ostrava, czech republic",ostrava,czech,none,22,female,11,academic,usa,0.5 years,czech7
1502,"glasgow, scotland, uk",glasgow,english,spanish,22,female,0,naturalistic,scotland,22 years,english440
1503,"kuala lumpur, malaysia",kuala lumpur,malay,french chaam,21,female,8,academic,,0.1 years,malay4
1504,"hyderabad, india",hyderabad,gujarati,hindi kannada,40,female,4,academic,usa,16 years,gujarati7
1505,"tehran, iran",tehran,armenian,farsi,31,male,10,academic,usa,3 years,armenian7
1506,"lima, peru",lima,spanish,none,20,female,4,academic,usa,1.5 years,spanish99
1507,"seoul, south korea",seoul,korean,spanish,23,male,21,academic,canada,1.2 years,korean26
1508,"iquitos, peru",iquitos,spanish,arabic,30,female,26,academic,usa,8 years,spanish100
1509,"kinshasa, democratic republic of congo",kinshasa,french,lingala swahili kikongo tshiluba,22,female,20,academic,usa,2 years,french42
1510,"abu dhabi, united arab emirates",abu dhabi,urdu,none,21,female,5,academic,usa,12 years,urdu8
1511,"accra, ghana",accra,fanti,ga twi ewe,24,female,7,academic,"uk, usa",10.5 years,fanti2
1512,"chirpan, bulgaria",chirpan,bulgarian,macedonian french,20,male,9,academic,usa,10 years,bulgarian13
1513,"chitwan, nepal",chitwan,nepali,hindi,19,male,7,academic,usa,6 years,nepali7
1514,"pokhara, nepal",pokhara,nepali,hindi gurung,20,male,5,academic,usa,1.5 years,nepali8
1515,"addis ababa, ethiopia",addis ababa,amharic,none,31,male,12,academic,usa,11 years,amharic14
1516,"addis ababa, ethiopia",addis ababa,amharic,tigrigna,23,male,6,academic,usa,1 years,amharic15
1517,"deventer, netherlands",deventer,dutch,french german,41,male,13,academic,usa,3 years,dutch41
1518,"moscow, russia",moscow,russian,french,25,male,20,academic,usa,4 years,russian36
1519,"wenzhou, zhejiang, china",wenzhou,mandarin,none,26,female,13,academic,usa,2.5 years,mandarin31
1520,"zaporizhzhya, ukraine",zaporizhzhya,ukrainian,russian,30,male,20,academic,,0 years,ukrainian9
1521,"osaka, japan",osaka,japanese,french,45,male,12,academic,,0 years,japanese15
1522,"changsha, hunan, china",changsha,xiang,mandarin russian,36,male,13,academic,,0 years,xiang3
1523,"st. petersburg, russia",st. petersburg,russian,none,31,male,10,academic,,0 years,russian37
1524,"oquawka, illinois, usa",oquawka,english,french,19,female,0,naturalistic,usa,19 years,english441
1525,"vienna, austria",vienna,german,italian aramaic,19,female,10,academic,,0 years,german28
1526,"rabat, morocco",rabat,arabic,french tachelhit danish swedish,36,male,17,academic,usa,12 years,arabic53
1527,"taipei, taiwan",taipei,mandarin,japanese,23,female,12,academic,usa,2 years,mandarin32
1528,"salisbury mills, new york, usa",salisbury mills,english,french spanish,23,male,0,naturalistic,usa,23 years,english442
1529,"can tho, vietnam",can tho,vietnamese,none,24,female,9,academic,usa,15 years,vietnamese12
1530,"fort collins, colorado, usa",fort collins,english,french spanish,31,male,0,naturalistic,usa,31 years,english443
1531,"anniston, alabama, usa",anniston,english,spanish,24,male,0,naturalistic,usa,24 years,english444
1532,"san francisco, california, usa",san francisco,english,mandarin,60,male,0,naturalistic,usa,59 years,english445
1533,"moorhead, minnesota, usa",moorhead,english,none,23,female,0,naturalistic,usa,23 years,english446
1534,"hartford, connecticut, usa",hartford,english,french,21,male,0,naturalistic,usa,21 years,english447
1535,"paris, france",paris,french,italian spanish,22,male,11,academic,scotland,0.2 years,french43
1536,"isle of arran, scotland, uk",isle of arran,english,german,20,male,0,naturalistic,uk,20 years,english448
1537,"clark field, philippines",clark field,japanese,none,25,female,3,naturalistic,usa,17 years,japanese16
1538,"barton, vermont, usa",barton,english,none,27,male,0,naturalistic,usa,27 years,english449
1539,"alexandria, virginia, usa",alexandria,urdu,spanish arabic,20,female,5,academic,usa,20 years,urdu9
1540,"kingston, jamaica",kingston,jamaican creole english,spanish,21,male,6,academic,"jamaica, usa, virgin islands",21 years,jamaican creole english2
1541,"beijing, china",beijing,mandarin,french,25,male,6,naturalistic,"thailand, australia, usa",20 years,mandarin33
1542,"belgrade, serbia",belgrade,serbian,french spanish,22,male,11,academic,,0 years,serbian18
1543,"milan, italy",milan,italian,none,33,female,10,academic,uk,0.2 years,italian27
1544,"windsor, uk",windsor,english,french german,26,male,0,naturalistic,uk,26 years,english450
1545,"la chaux-de-fonds, switzerland",la chaux-de-fonds,french,german spanish,20,female,12,academic,,0 years,french44
1546,"hazlehurst, georgia, usa",hazlehurst,english,russian,44,male,0,naturalistic,usa,44 years,english451
1547,"newcastle, australia",newcastle,english,none,24,male,0,naturalistic,australia,24 years,english452
1548,"chicago, illinois, usa",chicago,english,french,21,female,0,naturalistic,usa,21 years,english453
1549,"belchatow, poland",belchatow,polish,german dutch spanish,24,male,7,academic,uk,0.2 years,polish19
1550,"raleigh, north carolina, usa",raleigh,english,spanish,19,female,0,naturalistic,usa,19 years,english454
1551,"schiedam, netherlands",schiedam,dutch,french german,36,male,8,academic,usa,13.5 years,dutch42
1552,"washington, dc, usa",washington,english,spanish,29,female,0,naturalistic,usa,29 years,english455
1553,"sao paulo, brazil",sao paulo,portuguese,spanish italian german,26,female,8,academic,"uk, usa",0.2 years,portuguese39
1554,"lancashire, leyland, uk",lancashire,english,none,37,female,0,naturalistic,uk,37 years,english456
1555,"syracuse, new york, usa",syracuse,english,none,43,male,0,naturalistic,usa,40 years,english457
1556,"rijeka, croatia",rijeka,croatian,hungarian,21,female,7,academic,uk,0.1 years,croatian7
1557,"chisinau, moldova",chisinau,romanian,french russian,19,male,8,academic,,0 years,romanian19
1558,"hong kong, china",hong kong,cantonese,mandarin,18,female,4,naturalistic,,0 years,cantonese21
1559,"reno, nevada, usa",reno,english,japanese,22,female,0,naturalistic,usa,22 years,english458
1560,"charlotte, north carolina, usa",charlotte,english,french german,19,male,0,naturalistic,usa,19 years,english459
1561,"rutland, england, uk",rutland,english,german,19,female,0,naturalistic,uk,19 years,english460
1562,"hanoi, vietnam",hanoi,vietnamese,none,23,male,6,academic,,0 years,vietnamese13
1563,"poughkeepsie, new york, usa",poughkeepsie,english,none,44,female,0,naturalistic,usa,44 years,english461
1564,"paducah, kentucky, usa",paducah,english,german,20,male,0,naturalistic,usa,20 years,english462
1565,"baghdad, iraq",baghdad,arabic,french,22,male,7,academic,usa,3 years,arabic54
1566,"karachi, pakistan",karachi,urdu,punjabi french,20,male,3,academic,usa,0.8 years,urdu10
1567,"montreal, quebec, canada",montreal,french,none,22,male,8,naturalistic,canada,22 years,french45
1568,"yangon, myanmar",yangon,burmese,chinese,29,male,7,naturalistic,singapore,5 years,burmese2
1569,"beirut, lebanon",beirut,arabic,french,70,male,33,academic,usa,37 years,arabic55
1570,"kars, turkey",kars,turkish,farsi russian,32,male,26,academic,usa,6 years,turkish25
1571,"brooklyn, new york, usa",brooklyn,english,french spanish,53,female,0,naturalistic,usa,53 years,english463
1572,"bethesda, maryland, usa",bethesda,farsi,arabic,52,female,6,academic,usa,14 years,farsi14
1573,"egvad, denmark",egvad,danish,german swedish,49,female,8,academic,usa,24 years,danish5
1574,"la union, el salvador",la union,spanish,none,39,female,19,naturalistic,usa,24 years,spanish101
1575,"cochabamba, bolivia",cochabamba,spanish,quechua,31,male,26,academic,usa,9 years,spanish102
1576,"karachi, pakistan",karachi,urdu,arabic,20,male,6,academic,usa,4 years,urdu11
1577,"alborg, denmark",alborg,danish,french,19,male,8,academic,,0 years,danish6
1578,"shi jia zhuang, hebei, china",shi jia zhuang,mandarin,japanese,31,female,13,academic,,0 years,mandarin34
1579,"yantai, shandong, china",yantai,mandarin,japanese,27,female,12,academic,,0 years,mandarin35
1580,"beijing, china",beijing,mandarin,none,32,female,10,academic,,0 years,mandarin36
1581,"huhot, nei meng gu, china",huhot,mandarin,none,32,female,12,academic,,0 years,mandarin37
1582,"changsha, hunan, china",changsha,mandarin,none,33,female,12,academic,"australia, usa",0.1 years,mandarin38
1583,"tie ling, liaoning, china",tie ling,mandarin,russian,24,female,12,academic,,0 years,mandarin39
1584,"san miguel, el salvador",san miguel,spanish,none,46,male,15,naturalistic,usa,25 years,spanish103
1585,"skopje, macedonia",skopje,macedonian,none,19,female,11,naturalistic,,0 years,macedonian5
1586,"skopje, macedonia",skopje,macedonian,spanish,19,male,9,academic,,0 years,macedonian6
1587,"skopje, macedonia",skopje,macedonian,german,19,female,10,academic,,0 years,macedonian7
1588,"skopje, macedonia",skopje,macedonian,spanish japanese,20,male,8,academic,,0 years,macedonian8
1589,"skopje, macedonia",skopje,macedonian,italian,19,female,10,academic,,0 years,macedonian9
1590,"skopje, macedonia",skopje,macedonian,german spanish,20,female,10,academic,,0 years,macedonian10
1591,"skopje, macedonia",skopje,macedonian,italian german,20,female,8,academic,,0 years,macedonian11
1592,"skopje, macedonia",skopje,macedonian,spanish german,20,female,10,academic,,0 years,macedonian12
1593,"skopje, macedonia",skopje,macedonian,italian german,20,female,8,academic,,0 years,macedonian13
1594,"skopje, macedonia",skopje,macedonian,serbian italian german,20,female,9,academic,,0 years,macedonian14
1595,"skopje, macedonia",skopje,macedonian,italian,20,female,10,academic,,0 years,macedonian15
1596,"skopje, macedonia",skopje,macedonian,italian spanish french,20,female,5,academic,,0 years,macedonian16
1597,"skopje, macedonia",skopje,macedonian,aromanian german greek,24,male,6,academic,,0 years,macedonian17
1598,"tehran, iran",tehran,farsi,arabic,20,male,4,naturalistic,usa,0.33 years,farsi15
1599,"bucharest, romania",bucharest,romanian,none,34,female,19,naturalistic,usa,15 years,romanian20
1600,"san miguel, el salvador",san miguel,spanish,none,28,female,20,naturalistic,usa,8 years,spanish104
1601,"skopje, macedonia",skopje,macedonian,french,20,female,5,academic,,0 years,macedonian18
1602,"skopje, macedonia",skopje,macedonian,polish,22,male,10,naturalistic,,0 years,macedonian19
1603,"skopje, macedonia",skopje,macedonian,french serbian,19,female,10,academic,,0 years,macedonian20
1604,"skopje, macedonia",skopje,macedonian,french spanish,19,female,12,academic,,0 years,macedonian21
1605,"skopje, macedonia",skopje,macedonian,portuguese,21,female,8,academic,,0 years,macedonian22
1606,"skopje, macedonia",skopje,macedonian,russian,20,female,11,academic,,0 years,macedonian23
1607,"skopje, macedonia",skopje,macedonian,french,20,female,7,academic,,0 years,macedonian24
1608,"skopje, macedonia",skopje,macedonian,serbian german,20,female,9,academic,,0 years,macedonian25
1609,"kampong speu, cambodia",kampong speu,khmer,none,47,male,25,academic,usa,20 years,khmer5
1610,"nara, japan",nara,japanese,none,44,female,13,academic,usa,19 years,japanese17
1611,"sofia, bulgaria",sofia,bulgarian,russian serbian arabic,46,male,30,academic,usa,14 years,bulgarian14
1612,"ropar, punjab, india",ropar,punjabi,hindi urdu,49,male,5,academic,usa,31 years,punjabi5
1613,"jerez de la frontera, spain",jerez de la frontera,spanish,latin greek arabic german,41,female,10,academic,usa,12 years,spanish105
1614,"chengdu, sichuan, china",chengdu,mandarin,japanese thai,28,male,12,academic,"singapore, usa",9 years,mandarin40
1615,"songyuan, jilin, china",songyuan,mandarin,none,34,female,13,academic,,0 years,mandarin41
1616,"yanbian, jilin, china",yanbian,mandarin,none,47,female,16,academic,,0 years,mandarin42
1617,"datong, shanxi, china",datong,mandarin,none,24,female,15,academic,,0 years,mandarin43
1618,"ottawa, ontario, canada",ottawa,english,german french,27,male,0,naturalistic,canada,24 years,english464
1619,"coburg, germany",coburg,german,none,53,female,12,academic,usa,23 years,german29
1620,"nicosia, cyprus",nicosia,greek,none,58,male,14,academic,usa,29 years,greek10
1621,"lima, peru",lima,spanish,none,21,male,5,academic,usa,10 years,spanish106
1622,"san salvador, el salvador",san salvador,spanish,italian,36,male,14,naturalistic,usa,22 years,spanish107
1623,"abadan, iran",abadan,farsi,none,54,female,38,naturalistic,usa,16 years,farsi16
1624,"haenam, south korea",haenam,korean,none,51,male,14,academic,usa,14 years,korean27
1625,"gdansk, poland",gdansk,polish,russian latin greek,53,female,4,academic,"canada, usa",35 years,polish20
1626,"kyoto, japan",kyoto,japanese,none,52,female,13,academic,usa,20 years,japanese18
1627,"cabanatuan city, philippines",cabanatuan city,tagalog,spanish italian ilonggo kapampangan ilocano,62,female,7,academic,usa,27 years,tagalog8
1628,"islamabad, pakistan",islamabad,urdu,none,19,female,4,academic,usa,4 years,urdu12
1629,"medellin, colombia",medellin,spanish,none,36,male,24,academic,usa,12 years,spanish108
1630,"hangzhou, zhejiang, china",hangzhou,mandarin,none,21,male,16,academic,usa,1.5 years,mandarin44
1631,"beijing, china",beijing,mandarin,none,42,female,12,academic,"usa, australia",0.1 years,mandarin45
1632,"pingxiang, jiangxi, china",pingxiang,gan,none,72,male,40,naturalistic,usa,4 years,gan1
1633,"jaipur, india",jaipur,hindi,rajasthani garhwali,43,female,13,academic,usa,0.1 years,hindi13
1634,"athens, greece",athens,greek,spanish,21,female,3,naturalistic,usa,20 years,greek11
1635,"aylesbury, buckinghamshire, uk",aylesbury,english,french spanish mandarin,20,male,0,naturalistic,uk,19 years,english465
1636,"jilin city, jilin, china",jilin city,mandarin,arabic,43,female,9,academic,,0 years,mandarin46
1637,"portland, maine, usa",portland,english,none,18,male,0,naturalistic,usa,18 years,english466
1638,"ronse, belgium",ronse,vlaams,french spanish german,50,female,12,academic,,0 years,vlaams4
1639,"pozzuoli, italy",pozzuoli,english,none,23,male,1,naturalistic,usa,18 years,english467
1640,"myrtle beach, south carolina, usa",myrtle beach,english,"german greek, ancient",30,male,0,naturalistic,usa,30 years,english468
1641,"knoxville, tennessee, usa",knoxville,english,japanese,22,male,0,naturalistic,usa,21 years,english469
1642,"leighton buzzard, uk",leighton buzzard,english,french japanese,21,male,0,naturalistic,uk,20 years,english470
1643,"chatenay malabry, france",chatenay malabry,french,japanese,22,male,10,academic,,0 years,french46
1645,"pingdingshan, henan, china",pingdingshan,mandarin,none,37,male,12,academic,,0 years,mandarin48
1646,"taizhou, zhejiang, china",taizhou,wu,mandarin japanese,30,female,12,academic,,0 years,wu1
1647,"colombo, sri lanka",colombo,tamil,sinhalese,58,female,3,academic,usa,23.7 years,tamil4
1648,"calgary, alberta, canada",calgary,english,spanish french,26,female,0,naturalistic,canada,24.5 years,english471
1649,"rota, spain",rota,english,spanish russian,26,male,0,naturalistic,usa,23 years,english472
1650,"nottingham, uk",nottingham,english,none,20,male,0,naturalistic,uk,20 years,english473
1651,"kolobrzeg, poland",kolobrzeg,polish,none,30,male,10,academic,uk,10 years,polish21
1652,"koszalin, poland",koszalin,polish,italian swedish,19,male,11,academic,,0 years,polish22
1653,"lobez, poland",lobez,polish,swedish,21,male,8,academic,,0 years,polish23
1654,"koszalin, poland",koszalin,polish,swedish,20,female,10,academic,,0 years,polish24
1655,"pei kang, taiwan",pei kang,hakka,mandarin,72,female,13,academic,usa,48 years,hakka1
1656,"rochester, minnesota, usa",rochester,english,spanish,33,female,0,naturalistic,usa,33 years,english474
1657,"ogden, utah, usa",ogden,english,none,29,female,0,naturalistic,usa,29 years,english475
1658,"manchester, new hampshire, usa",manchester,english,none,64,female,0,naturalistic,usa,64 years,english476
1659,"san diego, california, usa",san diego,english,german,31,female,0,naturalistic,usa,27 years,english477
1660,"maracay, venezuela",maracay,spanish,french portuguese,21,male,16,academic,,0 years,spanish109
1661,"sydney, nova scotia, canada",sydney,english,none,19,male,0,naturalistic,canada,19 years,english478
1662,"landerneau, brittany, france",landerneau,french,none,66,female,12,academic,usa,45 years,french47
1663,"seoul, south korea",seoul,korean,spanish,62,female,13,academic,usa,17 years,korean28
1664,"new york, new york, usa",new york,english,none,64,female,0,naturalistic,usa,64 years,english479
1665,"winston-salem, north carolina, usa",winston-salem,english,none,58,male,0,naturalistic,usa,58 years,english480
1666,"stringtown, oklahoma, usa",stringtown,english,german spanish,88,female,0,naturalistic,usa,82 years,english481
1667,"yeadon, pennsylvania, usa",yeadon,english,none,74,female,0,naturalistic,usa,74 years,english482
1668,"boston, massachusetts, usa",boston,english,spanish,19,male,0,naturalistic,usa,19 years,english483
1669,"auburn, australia",auburn,khmer,japanese,20,female,4,naturalistic,australia,20 years,khmer6
1670,"kuala lumpur, malaysia",kuala lumpur,malay,spanish french mandarin cantonese,19,male,3,naturalistic,"malaysia, india",19 years,malay5
1671,"koszalin, poland",koszalin,polish,russian,20,male,11,academic,,0 years,polish25
1672,"dublin, ireland",dublin,english,irish french japanese swedish spanish,24,male,0,naturalistic,ireland,24 years,english484
1673,"bang na, thailand",bang na,thai,mandarin,18,male,13,naturalistic,,0 years,thai11
1674,"cromwell, connecticut, usa",cromwell,english,french,20,male,0,naturalistic,usa,20 years,english485
1675,"pepeekeo, hawai'i, usa",pepeekeo,hawai'i creole english,none,73,male,5,academic,usa,64 years,hawai'i creole english1
1676,"pa'ia, hawai'i, usa",pa'ia,hawai'i creole english,chinese,69,female,4,naturalistic,usa,64 years,hawai'i creole english2
1677,"ain defla, algeria",ain defla,arabic,french,43,male,12,academic,usa,3 years,arabic56
1678,"ahmedabad, india",ahmedabad,gujarati,hindi spanish,27,female,7,academic,usa,20 years,gujarati8
1679,"rome, italy",rome,italian,french,25,male,6,academic,,0 years,italian28
